client_id,start,step_1,step_2,step_3,confirm
169,1,1,1,1,1
336,2,0,0,0,0
546,1,1,1,1,1
555,1,1,1,1,1
647,1,1,1,1,1
722,2,3,2,1,1
786,2,1,1,1,1
805,4,3,2,0,0
832,1,2,2,1,1
934,4,0,0,0,0
1028,1,5,2,1,0
1039,1,1,1,1,1
1104,2,0,0,0,0
1186,2,1,1,0,0
1195,1,1,1,1,1
1197,1,1,2,2,1
1281,1,2,1,1,1
1336,1,1,1,1,3
1346,5,2,1,2,0
1357,1,1,1,1,1
1368,1,0,0,0,0
1399,2,2,1,1,1
1508,1,1,1,1,5
1516,6,4,4,1,1
1531,5,1,1,1,1
1543,2,1,1,1,1
1621,3,1,1,1,1
1643,5,2,1,1,1
1677,3,2,2,1,1
1680,3,1,1,1,1
1702,0,0,0,0,3
1711,2,0,0,0,0
1755,2,2,2,2,1
1836,4,4,1,1,2
1894,1,1,1,1,1
1936,4,1,2,2,1
1941,3,2,2,2,1
2078,8,4,1,1,0
2130,1,1,1,1,1
2439,1,0,0,0,0
2476,4,0,0,0,0
2581,1,0,0,0,0
2638,2,0,0,0,0
2720,3,0,0,0,0
2894,3,3,1,1,1
3232,1,1,1,1,1
3272,1,1,1,2,1
3572,1,1,1,1,1
3647,3,1,1,1,0
3741,3,1,1,1,1
3743,1,1,1,1,1
3835,2,1,1,0,0
3891,11,2,2,2,10
3989,2,1,1,1,0
4097,2,2,2,1,0
4360,4,1,0,0,0
4369,1,1,1,1,1
4484,2,1,1,2,1
4603,1,1,1,1,2
4630,1,1,1,1,1
4653,3,0,0,0,0
4717,3,2,2,2,1
4838,4,1,1,1,1
4870,1,1,1,1,1
4955,3,3,1,1,1
5071,1,1,1,1,1
5271,1,1,1,1,1
5308,1,1,1,1,1
5331,1,2,2,1,0
5354,2,2,1,1,1
5444,1,1,1,1,2
5459,3,0,0,0,0
5800,1,1,1,1,1
5833,4,3,2,1,0
5845,2,2,2,3,0
5938,1,1,1,1,1
6022,2,1,0,0,0
6096,1,1,1,1,1
6130,7,5,2,0,0
6150,1,0,0,0,0
6366,2,0,0,0,0
6468,2,1,1,1,1
6512,1,1,1,1,1
6567,1,1,1,1,1
6642,1,1,1,1,1
6904,1,1,1,1,1
6938,5,2,1,1,2
6977,2,1,1,1,1
6985,2,1,1,1,1
7005,1,1,1,1,1
7020,3,4,2,2,1
7082,4,3,1,1,1
7111,1,1,1,1,1
7157,2,2,1,1,2
7259,1,1,1,1,1
7367,1,1,1,1,2
7419,1,1,1,1,1
7561,3,2,1,0,0
7563,1,1,1,1,1
7567,2,1,1,1,1
7657,2,2,1,1,1
7723,1,1,1,1,1
7856,1,1,1,1,2
7934,2,1,0,0,0
8002,5,4,2,0,0
8016,5,1,0,0,0
8023,1,1,0,0,0
