,client_id,start,step_1,step_2,step_3,confirm,Variation,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
3,1028,1,5,2,1,0,Control,12.0,145.0,36.0,M,3.0,103520.22,1.0,4.0
4,1104,2,0,0,0,0,Control,5.0,66.0,48.0,U,3.0,154643.94,6.0,9.0
5,1186,2,1,1,0,0,Control,8.0,99.0,22.0,U,2.0,31662.52,0.0,3.0
6,1195,1,1,1,1,1,Control,21.0,262.0,54.5,M,2.0,28457.96,2.0,5.0
7,1197,1,1,2,2,1,Control,7.0,85.0,28.5,U,5.0,177062.14,5.0,8.0
10,1368,1,0,0,0,0,Control,5.0,60.0,45.0,F,3.0,61956.25,6.0,9.0
17,2439,1,0,0,0,0,Control,11.0,142.0,56.0,M,2.0,504142.55,0.0,3.0
18,2581,1,0,0,0,0,Control,4.0,58.0,22.0,M,2.0,24976.79,1.0,4.0
22,3647,3,1,1,1,0,Control,15.0,190.0,63.0,F,2.0,154244.15,4.0,7.0
23,3743,1,1,1,1,1,Control,6.0,75.0,30.0,U,3.0,48262.21,3.0,6.0
29,5354,2,2,1,1,1,Control,4.0,58.0,50.5,U,2.0,62282.38,2.0,5.0
33,6642,1,1,1,1,1,Control,12.0,149.0,35.5,M,2.0,34987.23,0.0,3.0
35,6977,2,1,1,1,1,Control,4.0,57.0,53.0,U,2.0,26011.36,0.0,3.0
36,6985,2,1,1,1,1,Control,7.0,89.0,61.5,U,3.0,84975.6,6.0,9.0
37,7020,3,4,2,2,1,Control,16.0,195.0,41.5,F,2.0,63648.09,2.0,5.0
40,7567,2,1,1,1,1,Control,21.0,252.0,33.0,F,2.0,27165.99,1.0,5.0
45,8039,1,1,1,1,0,Control,18.0,226.0,58.0,U,2.0,79960.0,6.0,9.0
47,8101,1,1,1,1,1,Control,11.0,143.0,70.5,M,2.0,257863.03,6.0,9.0
48,8124,1,0,0,0,0,Control,14.0,170.0,42.0,M,2.0,61022.23,5.0,8.0
52,9229,3,3,2,0,0,Control,8.0,105.0,42.0,M,2.0,78242.15,6.0,9.0
54,9767,3,2,2,2,1,Control,6.0,75.0,34.0,M,2.0,29523.54,1.0,4.0
55,9845,1,0,0,0,0,Control,5.0,60.0,25.0,F,2.0,31196.85,0.0,3.0
57,10344,5,0,0,0,0,Control,17.0,205.0,82.0,M,2.0,94009.47,3.0,6.0
60,11054,2,1,1,1,1,Control,4.0,56.0,60.0,M,2.0,208185.54,2.0,5.0
61,11070,5,2,2,2,1,Control,14.0,171.0,53.5,M,3.0,255988.05,6.0,9.0
62,11122,1,1,1,1,1,Control,16.0,194.0,40.5,M,2.0,31193.51,2.0,5.0
